Year,Stage,Stadium,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Referee,Home Team Initials,Away Team Initials
1954,Quarter-finals,Wankdorf Stadium,Hungary,4,2,Brazil,ELLIS Arthur (ENG),HUN,BRA
1954,Semi-finals,St. Jakob,Germany FR,6,1,Austria,ORLANDINI Vincenzo (ITA),FRG,AUT
1954,Semi-finals,La Pontaise,Hungary,4,2,Uruguay,GRIFFITHS Benjamin (WAL),HUN,URU
1954,Match for third place,Hardturm,Austria,3,1,Uruguay,WYSSLING Paul (SUI),AUT,URU
1954,Final,Wankdorf Stadium,Germany FR,3,2,Hungary,LING William (ENG),FRG,HUN
1958,Group 3,Rasunda Stadium,Sweden,3,0,Mexico,LATYCHEV Nikolaj (URS),SWE,MEX
1958,Group 4,Nya Ullevi,Soviet Union,2,2,England,ZSOLT Istvan (HUN),URS,ENG
1958,Group 1,Malmo Stadion,Argentina,1,3,Germany FR,LEAFE Reginald (ENG),ARG,FRG
1958,Group 3,Jarnvallen,Hungary,1,1,Wales,CODESAL Jose Maria (URU),HUN,WAL
1958,Group 2,Idrottsparken,France,7,3,Paraguay,GARDEAZABAL Juan (ESP),FRA,PAR
1958,Group 2,Arosvallen,Yugoslavia,1,1,Scotland,WYSSLING Paul (SUI),YUG,SCO
1958,Group 4,Rimnersvallen,Brazil,3,0,Austria,GUIGUE Maurice (FRA),BRA,AUT
1958,Group 1,Orjans Vall,Northern Ireland,1,0,Czechoslovakia,SEIPELT Fritz (AUT),NIR,TCH
1958,Group 4,Nya Ullevi,Brazil,0,0,England,DUSCH Albert (GER),BRA,ENG
1958,Group 3,Rasunda Stadium,Mexico,1,1,Wales,LEMESIC Leo (YUG),MEX,WAL
1958,Group 2,Idrottsparken,Paraguay,3,2,Scotland,ORLANDINI Vincenzo (ITA),PAR,SCO
1958,Group 2,Arosvallen,Yugoslavia,3,2,France,GRIFFITHS Benjamin (WAL),YUG,FRA
1958,Group 4,Ryavallen,Soviet Union,2,0,Austria,JORGENSEN Carl Frederik (DEN),URS,AUT
1958,Group 1,Olympia Stadium,Germany FR,2,2,Czechoslovakia,ELLIS Arthur (ENG),FRG,TCH
1958,Group 1,Orjans Vall,Argentina,3,1,Northern Ireland,AHLNER Sten (SWE),ARG,NIR
1958,Group 3,Rasunda Stadium,Sweden,2,1,Hungary,MOWAT Jack (SCO),SWE,HUN
1958,Group 3,Rasunda Stadium,Sweden,0,0,Wales,VAN NUFFEL Lucien (BEL),SWE,WAL
1958,Group 4,Nya Ullevi,Brazil,2,0,Soviet Union,GUIGUE Maurice (FRA),BRA,URS
